label,x,Q2_GeV2,phi_rad,phi_deg,y,F2d,F1_fixedR,U,K2_nb_GeV2,Delta_spec,T,sigma_Ey_nb_GeV4
P7,0.228,2.999,4.537856,260.0000,0.637406,2.883714e-01,5.686204e-01,1.572350e-01,6.064880e+01,1.125146e-03,4.650872e-05,9.53346108e+00
P7,0.228,2.999,4.712389,270.0000,0.637406,2.883714e-01,5.686204e-01,1.572350e-01,6.064880e+01,1.125146e-03,4.650872e-05,9.53329097e+00
P7,0.228,2.999,4.886922,280.0000,0.637406,2.883714e-01,5.686204e-01,1.572350e-01,6.064880e+01,1.125146e-03,4.650872e-05,9.53346108e+00
P7,0.228,2.999,5.061455,290.0000,0.637406,2.883714e-01,5.686204e-01,1.572350e-01,6.064880e+01,1.125146e-03,4.650872e-05,9.53395089e+00
P7,0.228,2.999,5.235988,300.0000,0.637406,2.883714e-01,5.686204e-01,1.572350e-01,6.064880e+01,1.125146e-03,4.650872e-05,9.53470132e+00
P7,0.228,2.999,5.410521,310.0000,0.637406,2.883714e-01,5.686204e-01,1.572350e-01,6.064880e+01,1.125146e-03,4.650872e-05,9.53562186e+00
P7,0.228,2.999,5.585054,320.0000,0.637406,2.883714e-01,5.686204e-01,1.572350e-01,6.064880e+01,1.125146e-03,4.650872e-05,9.53660148e+00
P7,0.228,2.999,5.759587,330.0000,0.637406,2.883714e-01,5.686204e-01,1.572350e-01,6.064880e+01,1.125146e-03,4.650872e-05,9.53752202e+00
P7,0.228,2.999,5.934119,340.0000,0.637406,2.883714e-01,5.686204e-01,1.572350e-01,6.064880e+01,1.125146e-03,4.650872e-05,9.53827245e+00
P7,0.228,2.999,6.108652,350.0000,0.637406,2.883714e-01,5.686204e-01,1.572350e-01,6.064880e+01,1.125146e-03,4.650872e-05,9.53876226e+00
P7,0.228,2.999,6.283185,360.0000,0.637406,2.883714e-01,5.686204e-01,1.572350e-01,6.064880e+01,1.125146e-03,4.650872e-05,9.53893237e+00
P8,0.333,3.748,0.000000,0.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46737520e+00
P8,0.333,3.748,0.174533,10.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46734253e+00
P8,0.333,3.748,0.349066,20.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46724846e+00
P8,0.333,3.748,0.523599,30.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46710434e+00
P8,0.333,3.748,0.698132,40.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46692754e+00
P8,0.333,3.748,0.872665,50.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46673940e+00
P8,0.333,3.748,1.047198,60.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46656261e+00
P8,0.333,3.748,1.221730,70.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46641849e+00
P8,0.333,3.748,1.396263,80.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46632441e+00
P8,0.333,3.748,1.570796,90.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46629174e+00
P8,0.333,3.748,1.745329,100.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46632441e+00
P8,0.333,3.748,1.919862,110.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46641849e+00
P8,0.333,3.748,2.094395,120.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46656261e+00
P8,0.333,3.748,2.268928,130.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46673940e+00
P8,0.333,3.748,2.443461,140.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46692754e+00
P8,0.333,3.748,2.617994,150.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46710434e+00
P8,0.333,3.748,2.792527,160.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46724846e+00
P8,0.333,3.748,2.967060,170.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46734253e+00
P8,0.333,3.748,3.141593,180.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46737520e+00
P8,0.333,3.748,3.316126,190.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46734253e+00
P8,0.333,3.748,3.490659,200.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46724846e+00
P8,0.333,3.748,3.665191,210.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46710434e+00
P8,0.333,3.748,3.839724,220.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46692754e+00
P8,0.333,3.748,4.014257,230.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46673940e+00
P8,0.333,3.748,4.188790,240.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46656261e+00
P8,0.333,3.748,4.363323,250.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46641849e+00
P8,0.333,3.748,4.537856,260.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46632441e+00
P8,0.333,3.748,4.712389,270.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46629174e+00
P8,0.333,3.748,4.886922,280.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46632441e+00
P8,0.333,3.748,5.061455,290.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46641849e+00
P8,0.333,3.748,5.235988,300.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46656261e+00
P8,0.333,3.748,5.410521,310.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46673940e+00
P8,0.333,3.748,5.585054,320.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46692754e+00
P8,0.333,3.748,5.759587,330.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46710434e+00
P8,0.333,3.748,5.934119,340.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46724846e+00
P8,0.333,3.748,6.108652,350.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46734253e+00
P8,0.333,3.748,6.283185,360.0000,0.545418,2.264126e-01,3.180991e-01,1.344343e-01,3.322689e+01,2.154104e-04,1.630394e-05,4.46737520e+00
